symbol,name,gics_sector,gics_sub_sector,headquarters,date_added,cik,founded,wikipedia_page,nyse_page,page_content
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,0000072331,1935,https://en.wikipedia.org/wiki/Nordson_Corporation,https://www.nasdaq.com/market-activity/stocks/ndsn,Nordson Corporation is an American multinational corporation that designs and manufactures dispensin
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",1957-03-04,0000702165,1881/1894 (1980),https://en.wikipedia.org/wiki/Norfolk_Southern_Railway,https://www.nyse.com/quote/XNYS:NSC,The Norfolk Southern Railway (reporting mark NS) is a Class I freight railroad operating in the East
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1998-01-30,0000073124,1889,https://en.wikipedia.org/wiki/Northern_Trust,https://www.nasdaq.com/market-activity/stocks/ntrs,"Northern Trust Corporation is an American financial services company headquartered in Chicago, Illin"
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1957-03-04,0001133421,"1994 (Northrop 1939, Grumman 1930)",https://en.wikipedia.org/wiki/Northrop_Grumman,https://www.nyse.com/quote/XNYS:NOC,"Northrop Grumman Corporation is an American multinational aerospace and defense  company. With 95,00"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,0001513761,2011 (1966),https://en.wikipedia.org/wiki/Norwegian_Cruise_Line_Holdings,https://www.nyse.com/quote/XNYS:NCLH,Norwegian Cruise Line Holdings (NCLH) is a holding company that is domiciled in Bermuda and based in
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,0001013871,1992,https://en.wikipedia.org/wiki/NRG_Energy,https://www.nyse.com/quote/XNYS:NRG,"NRG Energy, Inc. is an American energy company, headquartered in Houston, Texas. It was formerly the"
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,0000073309,1940,https://en.wikipedia.org/wiki/Nucor,https://www.nyse.com/quote/XNYS:NUE,"Nucor Corporation is an American company based in Charlotte, North Carolina, that produces steel and"
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,0001045810,1993,https://en.wikipedia.org/wiki/Nvidia,https://www.nasdaq.com/market-activity/stocks/nvda,"Nvidia Corporation (, en-VID-ee-ə) is an American multinational corporation and technology company h"
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,0000906163,1980,"https://en.wikipedia.org/wiki/NVR,_Inc.",https://www.nyse.com/quote/XNYS:NVR,"NVR, Inc. is a company engaged in home construction headquartered in Reston, Virginia. It also opera"
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,0001413447,1953,https://en.wikipedia.org/wiki/NXP_Semiconductors,https://www.nasdaq.com/market-activity/stocks/nxpi,NXP Semiconductors N.V. (NXP) is a Dutch semiconductor manufacturing and design company with headqua
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",2009-03-27,0000898173,1957,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts,https://www.nasdaq.com/market-activity/stocks/orly,"O’Reilly Automotive, Inc., doing business as O’Reilly Auto Parts, is an American auto parts retailer"
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0000797468,1920,https://en.wikipedia.org/wiki/Occidental_Petroleum,https://www.nyse.com/quote/XNYS:OXY,Occidental Petroleum Corporation (often abbreviated Oxy in reference to its ticker symbol and logo) 
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,0000878927,1934,https://en.wikipedia.org/wiki/Old_Dominion_Freight_Line,https://www.nasdaq.com/market-activity/stocks/odfl,"Old Dominion Freight Line, Inc. (ODFL) is an American regional, inter-regional and national less tha"
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1997-12-31,0000029989,1986,https://en.wikipedia.org/wiki/Omnicom_Group,https://www.nyse.com/quote/XNYS:OMC,"Omnicom Group Inc. is an American global media, marketing and corporate communications holding compa"
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022-06-21,0001097864,1999,https://en.wikipedia.org/wiki/ON_Semiconductor,https://www.nasdaq.com/market-activity/stocks/on,ON Semiconductor Corporation (stylized and doing business as onsemi) is an American semiconductor su
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,0001039684,1906,https://en.wikipedia.org/wiki/Oneok,https://www.nyse.com/quote/XNYS:OKE,"Oneok, Inc. ( WUN-oke) is an American diversified corporation focused primarily on the natural gas i"
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,0001341439,1977,https://en.wikipedia.org/wiki/Oracle_Corporation,https://www.nyse.com/quote/XNYS:ORCL,"Oracle Corporation is an American multinational computer technology company headquartered in Austin,"
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,0001781335,"2020 (1853, United Technologies spinoff)",https://en.wikipedia.org/wiki/Otis_Worldwide,https://www.nyse.com/quote/XNYS:OTIS,"Otis Worldwide Corporation (branded as the Otis Elevator Company, its former legal name) is an Ameri"
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,0000075362,1905,https://en.wikipedia.org/wiki/Paccar,https://www.nasdaq.com/market-activity/stocks/pcar,Paccar Inc. (stylized as PACCAR) is an American company primarily focused on the design and manufact
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,0000075677,1959,https://en.wikipedia.org/wiki/Packaging_Corporation_of_America,https://www.nyse.com/quote/XNYS:PKG,"Packaging Corporation of America is an American manufacturing company based in Lake Forest, Illinois"
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2023-06-20,0001327567,2005,https://en.wikipedia.org/wiki/Palo_Alto_Networks,https://www.nasdaq.com/market-activity/stocks/panw,"Palo Alto Networks, Inc. is an American multinational cybersecurity company with headquarters in San"
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",1994-09-30,0000813828,2019 (Paramount Pictures 1912),https://en.wikipedia.org/wiki/Paramount_Global,https://www.nasdaq.com/market-activity/stocks/para,Paramount Global (also known simply as Paramount) is an American multinational mass media and entert
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,0000076334,1917,https://en.wikipedia.org/wiki/Parker_Hannifin,https://www.nyse.com/quote/XNYS:PH,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker"
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1998-10-01,0000723531,1971,https://en.wikipedia.org/wiki/Paychex,https://www.nasdaq.com/market-activity/stocks/payx,"Paychex, Inc. is an American company that provides human resources, payroll, and employee benefits o"
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",2020-01-28,0001590955,1998,https://en.wikipedia.org/wiki/Paycom,https://www.nyse.com/quote/XNYS:PAYC,"Paycom Software, Inc., known simply as Paycom, is an American online payroll and human resource soft"
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,0001633917,1998,https://en.wikipedia.org/wiki/PayPal,https://www.nasdaq.com/market-activity/stocks/pypl,"PayPal Holdings, Inc. is an American multinational financial technology company operating an online "
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012-10-01,0000077360,1966,https://en.wikipedia.org/wiki/Pentair,https://www.nyse.com/quote/XNYS:PNR,Pentair plc (PNR) is an American water treatment company incorporated in Ireland with tax residency 
